        It                   T                   P               E_kin               E_pot               E_tot             Snapsh.             E_ia(# 0)             E_ia(# 1)             E_ia(# 2)             E_ia(# 3)             E_ia(# 4)             E_ia(# 5)
         0               0.100             0.00000             0.00388            93.12843            93.13230                   1             0.00000             0.00000             0.00000             1.20094             0.00000             0.50296
         1               0.700             0.00000             0.02712            66.82532            66.85243                   -             0.00000             0.00000             0.00000             1.20190             0.00000             0.51241
         2               1.300             0.00000             0.05036            47.57497            47.62533                   -             0.00000             0.00000             0.00000             1.20304             0.00000             0.52122
         3               1.899             0.00000             0.07360            33.61465            33.68826                   -             0.00000             0.00000             0.00000             1.20431             0.00000             0.52940
         4               2.499             0.00000             0.09685            23.57769            23.67454                   -             0.00000             0.00000             0.00000             1.20567             0.00000             0.53694
         5               3.099             0.00000             0.12009            16.43368            16.55377                   -             0.00000             0.00000             0.00000             1.20707             0.00000             0.54388
         6               3.699             0.00000             0.14333            11.41391            11.55724                   -             0.00000             0.00000             0.00000             1.20849             0.00000             0.55025
         7               4.299             0.00000             0.16657             7.94794             8.11451                   -             0.00000             0.00000             0.00000             1.20990             0.00000             0.55606
         8               4.898             0.00000             0.18982             5.61370             5.80352                   -             0.00000             0.00000             0.00000             1.21129             0.00000             0.56137
         9               5.498             0.00000             0.21306             4.09940             4.31246                   -             0.00000             0.00000             0.00000             1.21264             0.00000             0.56620
        10               6.098             0.00000             0.23630             3.17463             3.41093                   -             0.00000             0.00000             0.00000             1.21393             0.00000             0.57059
        11               6.698             0.00000             0.25954             2.66827             2.92781                   -             0.00000             0.00000             0.00000             1.21515             0.00000             0.57459
        12               7.298             0.00000             0.28279             2.45076             2.73355                   -             0.00000             0.00000             0.00000             1.21624             0.00000             0.57820
        13               7.897             0.00000             0.30603             2.41728             2.72331                   -             0.00000             0.00000             0.00000             1.21709             0.00000             0.58140
        14               8.497             0.00000             0.32927             2.46589             2.79516                   -             0.00000             0.00000             0.00000             1.21749             0.00000             0.58404
