        It                   T                   P               E_kin               E_pot               E_tot             Snapsh.
         0              50.000             0.00000            19.82239          -417.74681          -397.92442                   1
         1              50.000             0.00000            19.82239          -415.78997          -395.96758                   -
         2              50.000             0.00000            19.82239          -413.39254          -393.57016                   -
         3              50.000             0.00000            19.82239          -411.14352          -391.32113                   -
         4              50.000             0.00000            19.82239          -409.18296          -389.36057                   -
         5              50.000             0.00000            19.82239          -407.45885          -387.63646                   2
         6              50.000             0.00000            19.82239          -406.18885          -386.36647                   -
         7              50.000             0.00000            19.82239          -405.82150          -385.99911                   -
         8              50.000             0.00000            19.82239          -406.43505          -386.61266                   -
         9              50.000             0.00000            19.82239          -407.38856          -387.56618                   -
        10              50.000             0.00000            19.82239          -407.82278          -388.00039                   3
        11              50.000             0.00000            19.82239          -407.39084          -387.56846                   -
        12              50.000             0.00000            19.82239          -406.43221          -386.60983                   -
        13              50.000             0.00000            19.82239          -405.57988          -385.75749                   -
        14              50.000             0.00000            19.82239          -405.20207          -385.37969                   -
        15              50.000             0.00000            19.82239          -405.17505          -385.35267                   4
        16              50.000             0.00000            19.82239          -405.18774          -385.36535                   -
        17              50.000             0.00000            19.82239          -405.14424          -385.32186                   -
        18              50.000             0.00000            19.82239          -405.18959          -385.36721                   -
        19              50.000             0.00000            19.82239          -405.41502          -385.59263                   -
        20              50.000             0.00000            19.82239          -405.63403          -385.81164                   5
        21              50.000             0.00000            19.82239          -405.50116          -385.67877                   -
        22              50.000             0.00000            19.82239          -404.84135          -385.01896                   -
        23              50.000             0.00000            19.82239          -403.85627          -384.03388                   -
        24              50.000             0.00000            19.82239          -403.02793          -383.20554                   -
        25              50.000             0.00000            19.82239          -402.76138          -382.93899                   6
        26              50.000             0.00000            19.82239          -403.03453          -383.21215                   -
        27              50.000             0.00000            19.82239          -403.43494          -383.61255                   -
        28              50.000             0.00000            19.82239          -403.58386          -383.76148                   -
        29              50.000             0.00000            19.82239          -403.48113          -383.65875                   -
        30              50.000             0.00000            19.82239          -403.43066          -383.60827                   7
        31              50.000             0.00000            19.82239          -403.64937          -383.82699                   -
        32              50.000             0.00000            19.82239          -403.98723          -384.16484                   -
        33              50.000             0.00000            19.82239          -404.11291          -384.29053                   -
        34              50.000             0.00000            19.82239          -403.95069          -384.12831                   -
        35              50.000             0.00000            19.82239          -403.82060          -383.99821                   8
        36              50.000             0.00000            19.82239          -404.07912          -384.25673                   -
        37              50.000             0.00000            19.82239          -404.63345          -384.81107                   -
        38              50.000             0.00000            19.82239          -404.95497          -385.13258                   -
        39              50.000             0.00000            19.82239          -404.63813          -384.81575                   -
        40              50.000             0.00000            19.82239          -403.83666          -384.01427                   9
        41              50.000             0.00000            19.82239          -403.11900          -383.29661                   -
        42              50.000             0.00000            19.82239          -402.89969          -383.07730                   -
        43              50.000             0.00000            19.82239          -403.04334          -383.22095                   -
        44              50.000             0.00000            19.82239          -403.13979          -383.31741                   -
        45              50.000             0.00000            19.82239          -403.07466          -383.25227                  10
        46              50.000             0.00000            19.82239          -403.13433          -383.31195                   -
        47              50.000             0.00000            19.82239          -403.54551          -383.72312                   -
        48              50.000             0.00000            19.82239          -404.05100          -384.22861                   -
        49              50.000             0.00000            19.82239          -404.10852          -384.28614                   -
        50              50.000             0.00000            19.82239          -403.47357          -383.65119                  11
        51              50.000             0.00000            19.82239          -402.46288          -382.64049                   -
        52              50.000             0.00000            19.82239          -401.65697          -381.83458                   -
        53              50.000             0.00000            19.82239          -401.35828          -381.53590                   -
        54              50.000             0.00000            19.82239          -401.38229          -381.55991                   -
        55              50.000             0.00000            19.82239          -401.41755          -381.59516                  12
        56              50.000             0.00000            19.82239          -401.43651          -381.61412                   -
        57              50.000             0.00000            19.82239          -401.63551          -381.81313                   -
        58              50.000             0.00000            19.82239          -402.05117          -382.22879                   -
        59              50.000             0.00000            19.82239          -402.38438          -382.56200                   -
        60              50.000             0.00000            19.82239          -402.26949          -382.44710                  13
        61              50.000             0.00000            19.82239          -401.64248          -381.82009                   -
        62              50.000             0.00000            19.82239          -400.80229          -380.97990                   -
        63              50.000             0.00000            19.82239          -400.15187          -380.32948                   -
        64              50.000             0.00000            19.82239          -399.88994          -380.06756                   -
        65              50.000             0.00000            19.82239          -399.94053          -380.11815                  14
        66              50.000             0.00000            19.82239          -400.13688          -380.31449                   -
        67              50.000             0.00000            19.82239          -400.39731          -380.57493                   -
        68              50.000             0.00000            19.82239          -400.71832          -380.89594                   -
        69              50.000             0.00000            19.82239          -401.06596          -381.24358                   -
        70              50.000             0.00000            19.82239          -401.32462          -381.50223                  15
        71              50.000             0.00000            19.82239          -401.35815          -381.53576                   -
        72              50.000             0.00000            19.82239          -401.12256          -381.30017                   -
        73              50.000             0.00000            19.82239          -400.73992          -380.91753                   -
        74              50.000             0.00000            19.82239          -400.46758          -380.64519                   -
        75              50.000             0.00000            19.82239          -400.54505          -380.72266                  16
        76              50.000             0.00000            19.82239          -401.00785          -381.18546                   -
        77              50.000             0.00000            19.82239          -401.65449          -381.83211                   -
        78              50.000             0.00000            19.82239          -402.23362          -382.41124                   -
        79              50.000             0.00000            19.82239          -402.65320          -382.83082                   -
        80              50.000             0.00000            19.82239          -402.97826          -383.15587                  17
        81              50.000             0.00000            19.82239          -403.23577          -383.41339                   -
        82              50.000             0.00000            19.82239          -403.28336          -383.46098                   -
        83              50.000             0.00000            19.82239          -402.93938          -383.11700                   -
        84              50.000             0.00000            19.82239          -402.24078          -382.41839                   -
        85              50.000             0.00000            19.82239          -401.50975          -381.68736                  18
        86              50.000             0.00000            19.82239          -401.10107          -381.27868                   -
        87              50.000             0.00000            19.82239          -401.06770          -381.24531                   -
        88              50.000             0.00000            19.82239          -401.15690          -381.33452                   -
        89              50.000             0.00000            19.82239          -401.16809          -381.34571                   -
        90              50.000             0.00000            19.82239          -401.20165          -381.37926                  19
        91              50.000             0.00000            19.82239          -401.47938          -381.65699                   -
        92              50.000             0.00000            19.82239          -401.97261          -382.15022                   -
        93              50.000             0.00000            19.82239          -402.34452          -382.52213                   -
        94              50.000             0.00000            19.82239          -402.31814          -382.49575                   -
        95              50.000             0.00000            19.82239          -402.00320          -382.18081                  20
        96              50.000             0.00000            19.82239          -401.78631          -381.96392                   -
        97              50.000             0.00000            19.82239          -401.90425          -382.08187                   -
        98              50.000             0.00000            19.82239          -402.19471          -382.37232                   -
        99              50.000             0.00000            19.82239          -402.34250          -382.52011                   -
       100              50.000             0.00000            19.82239          -402.28282          -382.46043                  21
       101              50.000             0.00000            19.82239          -402.23441          -382.41202                   -
       102              50.000             0.00000            19.82239          -402.34572          -382.52334                   -
       103              50.000             0.00000            19.82239          -402.41618          -382.59379                   -
       104              50.000             0.00000            19.82239          -402.07313          -382.25074                   -
       105              50.000             0.00000            19.82239          -401.19064          -381.36825                  22
       106              50.000             0.00000            19.82239          -400.05162          -380.22924                   -
       107              50.000             0.00000            19.82239          -399.10064          -379.27826                   -
       108              50.000             0.00000            19.82239          -398.56085          -378.73847                   -
       109              50.000             0.00000            19.82239          -398.33890          -378.51651                   -
       110              50.000             0.00000            19.82239          -398.30561          -378.48322                  23
       111              50.000             0.00000            19.82239          -398.53677          -378.71438                   -
       112              50.000             0.00000            19.82239          -399.18540          -379.36301                   -
       113              50.000             0.00000            19.82239          -400.17548          -380.35310                   -
