        It                   T                   P               E_kin               E_pot               E_tot             Snapsh.
         0              49.072             0.00000            19.16189          -417.81026          -398.64837                   1
         1              44.692             0.00000            17.45149          -416.02484          -398.57335                   -
         2              39.593             0.00000            15.46057          -413.97469          -398.51412                   -
         3              35.128             0.00000            13.71693          -412.20262          -398.48569                   -
         4              31.453             0.00000            12.28207          -410.74313          -398.46106                   -
         5              28.414             0.00000            11.09537          -409.50868          -398.41331                   2
         6              26.458             0.00000            10.33132          -408.68445          -398.35314                   -
         7              26.289             0.00000            10.26565          -408.57897          -398.31332                   -
         8              27.768             0.00000            10.84311          -409.14578          -398.30267                   -
         9              29.586             0.00000            11.55302          -409.84374          -398.29073                   -
        10              30.296             0.00000            11.83006          -410.07264          -398.24258                   3
        11              29.543             0.00000            11.53619          -409.69472          -398.15854                   -
        12              28.147             0.00000            10.99112          -409.06142          -398.07029                   -
        13              27.083             0.00000            10.57563          -408.57824          -398.00262                   -
        14              26.632             0.00000            10.39942          -408.34943          -397.95001                   -
        15              26.520             0.00000            10.35560          -408.24835          -397.89275                   4
        16              26.568             0.00000            10.37437          -408.19933          -397.82496                   -
        17              26.914             0.00000            10.50961          -408.26767          -397.75806                   -
        18              27.646             0.00000            10.79546          -408.49625          -397.70079                   -
        19              28.484             0.00000            11.12273          -408.76951          -397.64678                   -
        20              28.966             0.00000            11.31066          -408.89511          -397.58445                   5
        21              28.849             0.00000            11.26519          -408.77692          -397.51173                   -
        22              28.256             0.00000            11.03374          -408.46920          -397.43546                   -
        23              27.511             0.00000            10.74284          -408.10397          -397.36113                   -
        24              26.973             0.00000            10.53274          -407.82315          -397.29040                   -
        25              26.943             0.00000            10.52090          -407.74766          -397.22676                   6
        26              27.487             0.00000            10.73330          -407.90767          -397.17437                   -
        27              28.249             0.00000            11.03072          -408.15873          -397.12801                   -
        28              28.602             0.00000            11.16874          -408.24048          -397.07174                   -
        29              28.203             0.00000            11.01286          -408.00851          -396.99565                   -
        30              27.370             0.00000            10.68754          -407.59863          -396.91108                   7
        31              26.754             0.00000            10.44703          -407.28690          -396.83987                   -
        32              26.614             0.00000            10.39242          -407.17927          -396.78685                   -
        33              26.618             0.00000            10.39391          -407.12596          -396.73205                   -
        34              26.472             0.00000            10.33677          -406.99334          -396.65657                   -
        35              26.532             0.00000            10.36052          -406.92969          -396.56917                   8
        36              27.460             0.00000            10.72271          -407.21782          -396.49511                   -
        37              29.221             0.00000            11.41055          -407.84864          -396.43808                   -
        38              30.771             0.00000            12.01569          -408.38226          -396.36658                   -
        39              31.012             0.00000            12.10965          -408.35765          -396.24800                   -
        40              29.990             0.00000            11.71083          -407.80076          -396.08993                   9
        41              28.849             0.00000            11.26507          -407.19881          -395.93375                   -
        42              28.540             0.00000            11.14448          -406.94987          -395.80539                   -
        43              28.884             0.00000            11.27877          -406.96372          -395.68495                   -
        44              29.104             0.00000            11.36480          -406.89926          -395.53446                   -
        45              29.069             0.00000            11.35105          -406.69850          -395.34745                  10
        46              29.546             0.00000            11.53729          -406.69205          -395.15477                   -
        47              31.101             0.00000            12.14460          -407.12374          -394.97914                   -
        48              33.106             0.00000            12.92729          -407.72703          -394.79973                   -
        49              34.230             0.00000            13.36636          -407.94181          -394.57545                   -
        50              33.896             0.00000            13.23608          -407.53405          -394.29796                  11
        51              32.900             0.00000            12.84698          -406.85233          -394.00535                   -
        52              32.462             0.00000            12.67608          -406.41467          -393.73859                   -
        53              32.934             0.00000            12.86032          -406.35707          -393.49675                   -
        54              33.703             0.00000            13.16066          -406.40686          -393.24620                   -
        55              34.231             0.00000            13.36658          -406.33424          -392.96766                  12
        56              34.741             0.00000            13.56580          -406.24357          -392.67777                   -
        57              35.710             0.00000            13.94433          -406.34484          -392.40051                   -
        58              36.970             0.00000            14.43614          -406.56743          -392.13129                   -
        59              37.707             0.00000            14.72411          -406.56717          -391.84306                   -
        60              37.387             0.00000            14.59894          -406.12294          -391.52399                  13
        61              36.392             0.00000            14.21052          -405.40532          -391.19480                   -
        62              35.630             0.00000            13.91293          -404.79703          -390.88410                   -
        63              35.687             0.00000            13.93542          -404.53210          -390.59668                   -
        64              36.569             0.00000            14.27968          -404.59461          -390.31493                   -
        65              38.103             0.00000            14.87877          -404.90412          -390.02535                  14
        66              40.240             0.00000            15.71334          -405.44372          -389.73038                   -
        67              42.822             0.00000            16.72157          -406.15449          -389.43292                   -
        68              45.316             0.00000            17.69512          -406.81711          -389.12199                   -
        69              47.067             0.00000            18.37896          -407.16324          -388.78428                   -
        70              47.817             0.00000            18.67206          -407.09657          -388.42451                  15
        71              47.792             0.00000            18.66216          -406.72536          -388.06320                   -
        72              47.308             0.00000            18.47294          -406.18670          -387.71376                   -
        73              46.548             0.00000            18.17617          -405.54831          -387.37214                   -
        74              45.827             0.00000            17.89478          -404.92797          -387.03319                   -
        75              45.795             0.00000            17.88234          -404.58874          -386.70640                  16
        76              46.999             0.00000            18.35259          -404.75553          -386.40294                   -
        77              49.209             0.00000            19.21542          -405.32609          -386.11067                   -
        78              51.457             0.00000            20.09336          -405.89041          -385.79705                   -
        79              52.921             0.00000            20.66496          -406.10863          -385.44366                   -
        80              53.587             0.00000            20.92479          -405.99275          -385.06795                  17
        81              53.858             0.00000            21.03089          -405.73152          -384.70062                   -
        82              53.710             0.00000            20.97308          -405.32056          -384.34748                   -
        83              52.654             0.00000            20.56048          -404.54908          -383.98860                   -
        84              50.654             0.00000            19.77966          -403.39656          -383.61689                   -
        85              48.677             0.00000            19.00754          -402.26802          -383.26048                  18
        86              47.891             0.00000            18.70085          -401.65281          -382.95196                   -
        87              48.398             0.00000            18.89881          -401.58120          -382.68238                   -
        88              49.146             0.00000            19.19096          -401.59589          -382.40493                   -
        89              49.238             0.00000            19.22684          -401.31606          -382.08922                   -
        90              48.953             0.00000            19.11566          -400.87200          -381.75635                  19
        91              49.148             0.00000            19.19150          -400.63815          -381.44664                   -
        92              49.877             0.00000            19.47647          -400.63899          -381.16253                   -
        93              50.202             0.00000            19.60301          -400.46736          -380.86435                   -
        94              49.522             0.00000            19.33755          -399.86395          -380.52640                   -
        95              48.642             0.00000            18.99388          -399.16981          -380.17593                  20
        96              48.973             0.00000            19.12336          -398.98167          -379.85830                   -
        97              50.798             0.00000            19.83596          -399.40802          -379.57205                   -
        98              52.862             0.00000            20.64185          -399.90457          -379.26272                   -
        99              53.896             0.00000            21.04574          -399.93361          -378.88787                   -
       100              54.102             0.00000            21.12625          -399.59496          -378.46871                  21
       101              54.660             0.00000            21.34384          -399.40344          -378.05960                   -
       102              55.962             0.00000            21.85232          -399.52821          -377.67589                   -
       103              57.001             0.00000            22.25804          -399.53504          -377.27700                   -
       104              56.761             0.00000            22.16456          -398.99139          -376.82683                   -
       105              55.752             0.00000            21.77034          -398.11935          -376.34901                  22
       106              55.570             0.00000            21.69947          -397.60063          -375.90116                   -
       107              57.016             0.00000            22.26390          -397.76581          -375.50190                   -
       108              59.188             0.00000            23.11201          -398.21973          -375.10771                   -
       109              60.706             0.00000            23.70497          -398.37509          -374.67012                   -
       110              61.410             0.00000            23.97978          -398.17665          -374.19687                  23
       111              62.351             0.00000            24.34726          -398.08553          -373.73827                   -
