        It                   T                   P               E_kin               E_pot               E_tot             Snapsh.
         0             369.348             0.00000             6.60573            10.10858            16.71431                   1
         1             325.838             0.00000             5.82756            10.92977            16.75733                   -
         2             301.780             0.00000             5.39729            11.38303            16.78032                   -
         3             314.232             0.00000             5.61999            11.14105            16.76104                   -
         4             347.967             0.00000             6.22334            10.49849            16.72184                   -
         5             372.726             0.00000             6.66615            10.03874            16.70490                   2
         6             375.654             0.00000             6.71851            10.00680            16.72531                   -
         7             372.968             0.00000             6.67048            10.08401            16.75449                   -
         8             388.255             0.00000             6.94388             9.80886            16.75274                   -
         9             422.403             0.00000             7.55461             9.15989            16.71451                   -
        10             449.704             0.00000             8.04289             8.63237            16.67526                   3
        11             445.190             0.00000             7.96217             8.71005            16.67222                   -
        12             412.860             0.00000             7.38394             9.31874            16.70267                   -
        13             382.896             0.00000             6.84805             9.87841            16.72646                   -
        14             380.223             0.00000             6.80024             9.90985            16.71009                   -
        15             398.618             0.00000             7.12923             9.53447            16.66370                   4
        16             408.669             0.00000             7.30898             9.32087            16.62985                   -
        17             390.636             0.00000             6.98646             9.65028            16.63674                   -
        18             356.066             0.00000             6.36819            10.29930            16.66749                   -
        19             334.682             0.00000             5.98574            10.69330            16.67904                   -
        20             341.406             0.00000             6.10600            10.54366            16.64966                   5
        21             360.101             0.00000             6.44035            10.16261            16.60296                   -
        22             362.045             0.00000             6.47512            10.10702            16.58214                   -
        23             338.869             0.00000             6.06062            10.54193            16.60255                   -
        24             313.467             0.00000             5.60632            11.02804            16.63436                   -
        25             316.262             0.00000             5.65630            10.97854            16.63485                   6
        26             352.308             0.00000             6.30097            10.29428            16.59525                   -
        27             395.188             0.00000             7.06788             9.48264            16.55052                   -
        28             414.533             0.00000             7.41387             9.12685            16.54072                   -
        29             407.047             0.00000             7.27999             9.28669            16.56668                   -
        30             397.118             0.00000             7.10240             9.48680            16.58920                   7
        31             406.906             0.00000             7.27746             9.29534            16.57280                   -
        32             429.753             0.00000             7.68607             8.83924            16.52532                   -
        33             436.911             0.00000             7.81409             8.67525            16.48934                   -
        34             410.243             0.00000             7.33713             9.15764            16.49478                   -
        35             364.323             0.00000             6.51586            10.00965            16.52551                   8
        36             332.935             0.00000             5.95450            10.58245            16.53695                   -
        37             334.454             0.00000             5.98166            10.52342            16.50507                   -
        38             353.942             0.00000             6.33020            10.12226            16.45246                   -
        39             361.246             0.00000             6.46084             9.96199            16.42283                   -
        40             344.733             0.00000             6.16549            10.26722            16.43271                   9
        41             323.475             0.00000             5.78531            10.66831            16.45362                   -
        42             324.932             0.00000             5.81136            10.63255            16.44391                   -
        43             353.237             0.00000             6.31759            10.07724            16.39483                   -
        44             383.300             0.00000             6.85527             9.48482            16.34010                   -
        45             387.249             0.00000             6.92590             9.39308            16.31898                  10
        46             364.200             0.00000             6.51366             9.81998            16.33364                   -
        47             340.846             0.00000             6.09599            10.25136            16.34735                   -
        48             342.457             0.00000             6.12479            10.20041            16.32519                   -
        49             366.196             0.00000             6.54936             9.72303            16.27239                   -
        50             385.735             0.00000             6.89881             9.32910            16.22791                  11
        51             381.360             0.00000             6.82057             9.40028            16.22085                   -
        52             361.789             0.00000             6.47055             9.76759            16.23814                   -
        53             353.548             0.00000             6.32315             9.91616            16.23931                   -
        54             370.105             0.00000             6.61928             9.58235            16.20162                   -
        55             395.457             0.00000             7.07269             9.07273            16.14542                  12
        56             400.654             0.00000             7.16564             8.94618            16.11182                   -
        57             375.167             0.00000             6.70982             9.40789            16.11770                   -
        58             338.604             0.00000             6.05588            10.08189            16.13777                   -
        59             320.028             0.00000             5.72366            10.40920            16.13287                   -
        60             327.781             0.00000             5.86232            10.23073            16.09305                  13
        61             342.712             0.00000             6.12935             9.91822            16.04758                   -
        62             341.478             0.00000             6.10728             9.92401            16.03129                   -
        63             323.344             0.00000             5.78296            10.26223            16.04519                   -
        64             310.603             0.00000             5.55509            10.50004            16.05513                   -
        65             322.524             0.00000             5.76829            10.26134            16.02962                  14
        66             352.224             0.00000             6.29948             9.67524            15.97472                   -
        67             372.475             0.00000             6.66167             9.26589            15.92756                   -
        68             364.356             0.00000             6.51646             9.39959            15.91605                   -
