        It                   T                   P               E_kin               E_pot               E_tot             Snapsh.
         0             387.314             0.00000             6.92705             9.77860            16.70566                   1
         1              61.595             0.00000             1.10161            10.13478            11.23639                   -
         2              52.808             0.00000             0.94446            10.30166            11.24612                   -
         3              60.851             0.00000             1.08831            10.14630            11.23461                   -
         4              76.648             0.00000             1.37084             9.84477            11.21561                   -
         5              85.454             0.00000             1.52833             9.68212            11.21045                   2
         6              83.070             0.00000             1.48570             9.73900            11.22470                   -
         7              80.098             0.00000             1.43254             9.80977            11.24231                   -
         8              89.621             0.00000             1.60287             9.64068            11.24355                   -
         9             111.926             0.00000             2.00178             9.22507            11.22685                   -
        10             133.039             0.00000             2.37938             8.83115            11.21054                   3
        11             138.687             0.00000             2.48039             8.73225            11.21264                   -
        12             128.451             0.00000             2.29732             8.93401            11.23134                   -
        13             114.888             0.00000             2.05476             9.19253            11.24728                   -
        14             109.005             0.00000             1.94954             9.29574            11.24528                   -
        15             108.403             0.00000             1.93877             9.29229            11.23106                   4
        16             101.189             0.00000             1.80975             9.41495            11.22470                   -
        17              81.056             0.00000             1.44967             9.78833            11.23800                   -
        18              56.451             0.00000             1.00961            10.25146            11.26107                   -
        19              43.262             0.00000             0.77374            10.49928            11.27302                   -
        20              48.783             0.00000             0.87248            10.39254            11.26502                   5
        21              64.433             0.00000             1.15238            10.09760            11.24997                   -
        22              75.150             0.00000             1.34405             9.90425            11.24830                   -
        23              75.058             0.00000             1.34240             9.92313            11.26553                   -
        24              72.331             0.00000             1.29363             9.99316            11.28679                   -
        25              78.355             0.00000             1.40136             9.89263            11.29399                   6
        26              93.758             0.00000             1.67685             9.60952            11.28637                   -
        27             107.158             0.00000             1.91650             9.36482            11.28132                   -
        28             108.006             0.00000             1.93167             9.36306            11.29473                   -
        29              99.011             0.00000             1.77080             9.55209            11.32288                   -
        30              93.942             0.00000             1.68014             9.66600            11.34614                   7
        31             102.853             0.00000             1.83951             9.51086            11.35038                   -
        32             120.779             0.00000             2.16012             9.18229            11.34240                   -
        33             132.347             0.00000             2.36700             8.97546            11.34247                   -
        34             127.436             0.00000             2.27918             9.08279            11.36197                   -
        35             111.030             0.00000             1.98576             9.40518            11.39093                   8
        36              96.819             0.00000             1.73160             9.67737            11.40896                   -
        37              91.970             0.00000             1.64487             9.76285            11.40772                   -
        38              90.123             0.00000             1.61184             9.78814            11.39998                   -
        39              80.382             0.00000             1.43763             9.96746            11.40509                   -
        40              61.999             0.00000             1.10885            10.31794            11.42680                   9
        41              47.782             0.00000             0.85458            10.59404            11.44861                   -
        42              51.671             0.00000             0.92412            10.52808            11.45220                   -
        43              73.782             0.00000             1.31958            10.11889            11.43847                   -
        44              99.480             0.00000             1.77918             9.64838            11.42756                   -
        45             113.757             0.00000             2.03452             9.40279            11.43731                  10
        46             115.362             0.00000             2.06323             9.40101            11.46424                   -
        47             115.448             0.00000             2.06478             9.42337            11.48815                   -
        48             122.865             0.00000             2.19742             9.29775            11.49518                   -
        49             133.080             0.00000             2.38013             9.11325            11.49337                   -
        50             133.437             0.00000             2.38650             9.11666            11.50316                  11
        51             118.772             0.00000             2.12422             9.40931            11.53353                   -
        52              99.407             0.00000             1.77788             9.79300            11.57088                   -
        53              91.759             0.00000             1.64110             9.95228            11.59338                   -
        54             101.318             0.00000             1.81206             9.78303            11.59510                   -
        55             116.601             0.00000             2.08539             9.50747            11.59286                  12
        56             121.003             0.00000             2.16413             9.44397            11.60810                   -
        57             109.941             0.00000             1.96628             9.67708            11.64336                   -
        58              94.847             0.00000             1.69632             9.98310            11.67942                   -
        59              89.910             0.00000             1.60803            10.08817            11.69620                   -
        60              96.312             0.00000             1.72253             9.97215            11.69468                  13
        61             101.370             0.00000             1.81299             9.88268            11.69566                   -
        62              93.535             0.00000             1.67287            10.04372            11.71659                   -
        63              76.512             0.00000             1.36841            10.38359            11.75199                   -
        64              66.502             0.00000             1.18938            10.59001            11.77939                   -
        65              75.176             0.00000             1.34451            10.43993            11.78444                  14
        66              96.968             0.00000             1.73426            10.04326            11.77753                   -
        67             114.847             0.00000             2.05403             9.72894            11.78297                   -
        68             118.402             0.00000             2.11760             9.69481            11.81240                   -
        69             114.291             0.00000             2.04408             9.80788            11.85197                   -
        70             117.420             0.00000             2.10003             9.77778            11.87781                  15
        71             132.683             0.00000             2.37302             9.51001            11.88303                   -
        72             147.943             0.00000             2.64594             9.23983            11.88577                   -
        73             146.572             0.00000             2.62143             9.28758            11.90900                   -
        74             126.004             0.00000             2.25356             9.70077            11.95433                   -
        75             101.629             0.00000             1.81762            10.18166            11.99928                  16
        76              91.361             0.00000             1.63397            10.38730            12.02128                   -
        77              97.517             0.00000             1.74408            10.27800            12.02207                   -
        78             105.720             0.00000             1.89079            10.13460            12.02539                   -
        79             101.820             0.00000             1.82104            10.22955            12.05059                   -
        80              88.058             0.00000             1.57490            10.51641            12.09132                  17
        81              80.567             0.00000             1.44093            10.68188            12.12281                   -
        82              90.927             0.00000             1.62621            10.50361            12.12983                   -
        83             112.249             0.00000             2.00755            10.11698            12.12454                   -
        84             125.542             0.00000             2.24529             9.88881            12.13411                   -
        85             119.829             0.00000             2.14312            10.02815            12.17127                  18
        86             104.069             0.00000             1.86126            10.35907            12.22034                   -
        87              97.654             0.00000             1.74652            10.50793            12.25445                   -
        88             109.811             0.00000             1.96396            10.30132            12.26528                   -
        89             130.532             0.00000             2.33455             9.93752            12.27207                   -
        90             142.772             0.00000             2.55346             9.74639            12.29985                  19
