        It                   T                   P               E_kin               E_pot               E_tot             Snapsh.
         0               0.001             0.00000             0.00045         -3638.25943         -3638.25897                   1
         1               0.601             0.00000             0.24070         -3638.26810         -3638.02740                   -
         2               1.201             0.00000             0.45760         -3638.21004         -3637.75244                   -
         3               1.801             0.00000             0.66556         -3638.14757         -3637.48201                   -
         4               2.401             0.00000             0.86648         -3638.14187         -3637.27539                   -
         5               3.001             0.00000             1.06260         -3638.14207         -3637.07947                   2
         6               3.601             0.00000             1.25791         -3638.05131         -3636.79341                   -
         7               4.201             0.00000             1.45503         -3637.86502         -3636.40998                   -
         8               4.801             0.00000             1.65295         -3637.67969         -3636.02674                   -
         9               5.401             0.00000             1.84907         -3637.55967         -3635.71060                   -
        10               6.001             0.00000             2.04409         -3637.43042         -3635.38633                   3
        11               6.601             0.00000             2.24068         -3637.18567         -3634.94500                   -
        12               7.201             0.00000             2.43952         -3636.83576         -3634.39624                   -
        13               7.801             0.00000             2.62758         -3636.48654         -3633.85896                   -
        14               8.401             0.00000             2.82496         -3636.20220         -3633.37724                   -
        15               9.001             0.00000             3.02246         -3635.92830         -3632.90584                   4
        16               9.601             0.00000             3.22344         -3635.58464         -3632.36120                   -
        17              10.201             0.00000             3.42808         -3635.17989         -3631.75181                   -
        18              10.801             0.00000             3.63298         -3634.80921         -3631.17623                   -
        19              11.401             0.00000             3.83473         -3634.56070         -3630.72596                   -
        20              12.001             0.00000             4.03350         -3634.42471         -3630.39121                   5
        21              12.601             0.00000             4.23188         -3634.29888         -3630.06700                   -
        22              13.201             0.00000             4.39389         -3634.10272         -3629.70883                   -
        23              13.801             0.00000             4.58728         -3633.89389         -3629.30661                   -
        24              14.401             0.00000             4.76988         -3633.82317         -3629.05329                   -
        25              15.001             0.00000             4.94467         -3633.92645         -3628.98178                   6
        26              15.601             0.00000             5.12070         -3634.02113         -3628.90043                   -
        27              16.201             0.00000             5.30193         -3633.93533         -3628.63340                   -
        28              16.801             0.00000             5.48392         -3633.76425         -3628.28033                   -
        29              17.401             0.00000             5.66160         -3633.75634         -3628.09474                   -
        30              18.001             0.00000             5.83850         -3633.92105         -3628.08255                   7
        31              18.601             0.00000             6.02215         -3633.95393         -3627.93178                   -
        32              19.201             0.00000             6.21462         -3633.68361         -3627.46899                   -
        33              19.801             0.00000             6.41033         -3633.35610         -3626.94577                   -
        34              20.401             0.00000             6.60204         -3633.32277         -3626.72074                   -
        35              21.001             0.00000             6.79101         -3633.49553         -3626.70452                   8
        36              21.601             0.00000             6.98460         -3633.43228         -3626.44768                   -
        37              22.201             0.00000             7.18572         -3632.99819         -3625.81247                   -
        38              22.801             0.00000             7.38802         -3632.57135         -3625.18333                   -
        39              23.401             0.00000             7.58318         -3632.50423         -3624.92105                   -
        40              24.001             0.00000             7.77408         -3632.54833         -3624.77425                   9
        41              24.601             0.00000             7.96972         -3632.21164         -3624.24192                   -
        42              25.201             0.00000             8.17229         -3631.51388         -3623.34159                   -
        43              25.801             0.00000             8.37290         -3630.98998         -3622.61708                   -
        44              26.401             0.00000             8.56295         -3630.96585         -3622.40290                   -
        45              27.001             0.00000             8.74657         -3631.08120         -3622.33464                  10
        46              27.601             0.00000             8.93166         -3630.86576         -3621.93410                   -
        47              28.201             0.00000             9.11947         -3630.41667         -3621.29719                   -
        48              28.801             0.00000             9.30608         -3630.19835         -3620.89227                   -
        49              29.401             0.00000             9.49035         -3630.34931         -3620.85896                   -
        50              30.001             0.00000             9.67599         -3630.49556         -3620.81957                  11
        51              30.601             0.00000             9.86625         -3630.33670         -3620.47044                   -
        52              31.201             0.00000            10.06086         -3630.02748         -3619.96662                   -
        53              31.801             0.00000            10.25691         -3629.89568         -3619.63877                   -
        54              32.401             0.00000            10.45174         -3630.00439         -3619.55265                   -
        55              33.001             0.00000            10.64470         -3630.13764         -3619.49294                  12
        56              33.601             0.00000            10.93336         -3630.12032         -3619.18696                   -
        57              34.201             0.00000            11.12951         -3629.96924         -3618.83973                   -
        58              34.801             0.00000            11.32470         -3629.80752         -3618.48282                   -
        59              35.401             0.00000            11.51973         -3629.74255         -3618.22282                   -
        60              36.001             0.00000            11.71626         -3629.77696         -3618.06070                  13
        61              36.601             0.00000            11.91603         -3629.77527         -3617.85923                   -
        62              37.201             0.00000            12.12009         -3629.58569         -3617.46560                   -
        63              37.801             0.00000            12.32752         -3629.25739         -3616.92987                   -
        64              38.401             0.00000            12.53524         -3629.03272         -3616.49748                   -
        65              39.001             0.00000            12.74127         -3629.00053         -3616.25926                  14
        66              39.601             0.00000            12.94760         -3628.87489         -3615.92729                   -
        67              40.201             0.00000            13.15630         -3628.35903         -3615.20273                   -
        68              40.801             0.00000            13.36306         -3627.63452         -3614.27146                   -
        69              41.401             0.00000            13.55959         -3627.20855         -3613.64896                   -
        70              42.001             0.00000            13.74646         -3627.20382         -3613.45735                  15
        71              42.601             0.00000            13.93397         -3627.14959         -3613.21562                   -
        72              43.201             0.00000            14.12781         -3626.74265         -3612.61485                   -
        73              43.801             0.00000            14.32260         -3626.37184         -3612.04924                   -
        74              44.401             0.00000            14.51186         -3626.54664         -3612.03478                   -
        75              45.001             0.00000            14.70055         -3627.02015         -3612.31960                  16
        76              45.601             0.00000            14.89894         -3627.06102         -3612.16209                   -
        77              46.201             0.00000            15.19473         -3626.53399         -3611.33926                   -
