        It                   T                   P               E_kin               E_pot               E_tot             Snapsh.
         0               0.001             0.00000             0.00046         -3638.25968         -3638.25922                   1
         1               0.601             0.00000             0.24258         -3638.26942         -3638.02684                   -
         2               1.201             0.00000             0.46024         -3638.21223         -3637.75200                   -
         3               1.801             0.00000             0.66870         -3638.15064         -3637.48194                   -
         4               2.401             0.00000             0.86989         -3638.14589         -3637.27601                   -
         5               3.001             0.00000             1.06617         -3638.14651         -3637.08034                   2
         6               3.601             0.00000             1.26170         -3638.05469         -3636.79299                   -
         7               4.201             0.00000             1.45921         -3637.86537         -3636.40615                   -
         8               4.801             0.00000             1.65770         -3637.67565         -3636.01795                   -
         9               5.401             0.00000             1.85449         -3637.55137         -3635.69688                   -
        10               6.001             0.00000             2.05036         -3637.41849         -3635.36813                   3
        11               6.601             0.00000             2.24820         -3637.16987         -3634.92167                   -
        12               7.201             0.00000             2.44894         -3636.81541         -3634.36647                   -
        13               7.801             0.00000             2.65056         -3636.46184         -3633.81128                   -
        14               8.401             0.00000             2.85139         -3636.17302         -3633.32163                   -
        15               9.001             0.00000             3.05315         -3635.89384         -3632.84069                   4
        16               9.601             0.00000             3.25871         -3635.54226         -3632.28355                   -
        17              10.201             0.00000             3.46858         -3635.12654         -3631.65797                   -
        18              10.801             0.00000             3.67973         -3634.74403         -3631.06430                   -
        19              11.401             0.00000             3.88799         -3634.48640         -3630.59841                   -
        20              12.001             0.00000             4.09217         -3634.34579         -3630.25362                   5
        21              12.601             0.00000             4.29481         -3634.21819         -3629.92338                   -
        22              13.201             0.00000             4.49809         -3634.02057         -3629.52248                   -
        23              13.801             0.00000             4.69944         -3633.80775         -3629.10831                   -
        24              14.401             0.00000             4.89287         -3633.73309         -3628.84022                   -
        25              15.001             0.00000             5.07783         -3633.83505         -3628.75722                   6
        26              15.601             0.00000             5.26131         -3633.92801         -3628.66669                   -
        27              16.201             0.00000             5.44833         -3633.83616         -3628.38783                   -
        28              16.801             0.00000             5.63565         -3633.65788         -3628.02223                   -
        29              17.401             0.00000             5.81750         -3633.64993         -3627.83243                   -
        30              18.001             0.00000             5.99615         -3633.82315         -3627.82701                   7
        31              18.601             0.00000             6.17926         -3633.86404         -3627.68478                   -
        32              19.201             0.00000             6.36957         -3633.59451         -3627.22494                   -
        33              19.801             0.00000             6.56230         -3633.26451         -3626.70221                   -
        34              20.401             0.00000             6.75179         -3633.23197         -3626.48018                   -
        35              21.001             0.00000             6.94021         -3633.40675         -3626.46654                   8
        36              21.601             0.00000             7.13361         -3633.33882         -3626.20521                   -
        37              22.201             0.00000             7.33282         -3632.89242         -3625.55960                   -
        38              22.801             0.00000             7.53140         -3632.45552         -3624.92412                   -
        39              23.401             0.00000             7.72395         -3632.38902         -3624.66507                   -
        40              24.001             0.00000             7.91490         -3632.43834         -3624.52344                   9
        41              24.601             0.00000             8.11105         -3632.09997         -3623.98892                   -
        42              25.201             0.00000             8.31184         -3631.39343         -3623.08159                   -
        43              25.801             0.00000             8.50925         -3630.86431         -3622.35506                   -
        44              26.401             0.00000             8.69879         -3630.84470         -3622.14592                   -
        45              27.001             0.00000             8.88600         -3630.96747         -3622.08147                  10
        46              27.601             0.00000             9.07641         -3630.75376         -3621.67735                   -
        47              28.201             0.00000             9.26863         -3630.30244         -3621.03381                   -
        48              28.801             0.00000             9.45820         -3630.08625         -3620.62805                   -
        49              29.401             0.00000             9.64544         -3630.24593         -3620.60049                   -
        50              30.001             0.00000             9.83510         -3630.39961         -3620.56450                  11
        51              30.601             0.00000            10.02969         -3630.23839         -3620.20870                   -
        52              31.201             0.00000            10.22734         -3629.91561         -3619.68827                   -
        53              31.801             0.00000            10.42443         -3629.76428         -3619.33985                   -
        54              32.401             0.00000            10.61944         -3629.85515         -3619.23571                   -
        55              33.001             0.00000            10.81340         -3629.97666         -3619.16327                  12
        56              33.601             0.00000            11.00733         -3629.95229         -3618.94496                   -
        57              34.201             0.00000            11.20134         -3629.79809         -3618.59675                   -
        58              34.801             0.00000            11.39535         -3629.63644         -3618.24109                   -
        59              35.401             0.00000            11.58989         -3629.57542         -3617.98553                   -
        60              36.001             0.00000            11.78621         -3629.62045         -3617.83424                  13
        61              36.601             0.00000            11.98603         -3629.63180         -3617.64578                   -
        62              37.201             0.00000            12.19064         -3629.44601         -3617.25536                   -
        63              37.801             0.00000            12.39941         -3629.10552         -3616.70611                   -
        64              38.401             0.00000            12.60915         -3628.86032         -3616.25117                   -
        65              39.001             0.00000            12.81727         -3628.81357         -3615.99630                  14
        66              39.601             0.00000            13.02525         -3628.68245         -3615.65719                   -
        67              40.201             0.00000            13.23576         -3628.15935         -3614.92359                   -
        68              40.801             0.00000            13.44635         -3627.41715         -3613.97080                   -
        69              41.401             0.00000            13.64988         -3626.96695         -3613.31708                   -
