        It                   T                   P               E_kin               E_pot               E_tot             Snapsh.
         0               0.018             0.00000             0.00722          -418.52129          -418.51407                   1
       100               0.823             0.00000             0.32631          -418.59656          -418.27025                   3
       200               1.539             0.00000             0.61021          -418.81236          -418.20214                   5
       300               2.791             0.00000             1.10643          -419.31059          -418.20416                   7
       400               4.133             0.00000             1.63853          -419.93789          -418.29936                   9
       500               5.621             0.00000             2.22829          -420.51318          -418.28489                  11
       600               7.880             0.00000             3.12397          -421.47663          -418.35266                  13
       700              11.401             0.00000             4.51990          -422.82822          -418.30831                  15
       800               9.871             0.00000             3.91332          -421.97840          -418.06508                  17
       900               9.010             0.00000             3.57218          -421.46703          -417.89485                  19
      1000               7.300             0.00000             2.89398          -420.82672          -417.93274                  21
      1100               7.442             0.00000             2.95022          -420.94225          -417.99204                  23
      1200               7.489             0.00000             2.96908          -421.12171          -418.15263                  25
      1300               8.818             0.00000             3.49592          -421.69521          -418.19929                  27
      1400               7.647             0.00000             3.03157          -421.11184          -418.08027                  29
      1500               6.313             0.00000             2.50291          -420.51332          -418.01041                  31
      1600               5.521             0.00000             2.18877          -420.24871          -418.05994                  33
      1700               7.601             0.00000             3.01324          -420.91499          -417.90174                  35
      1800               5.958             0.00000             2.36186          -420.05042          -417.68856                  37
      1900               5.529             0.00000             2.19191          -419.81417          -417.62226                  39
      2000               5.382             0.00000             2.13371          -419.47093          -417.33722                  41
      2100               6.177             0.00000             2.44868          -420.48538          -418.03671                  43
      2200               6.546             0.00000             2.59527          -420.74053          -418.14526                  45
      2300               5.597             0.00000             2.21877          -420.30105          -418.08228                  47
      2400               5.475             0.00000             2.17073          -420.28143          -418.11070                  49
      2500               6.631             0.00000             2.62890          -420.94429          -418.31539                  51
      2600               6.709             0.00000             2.65978          -420.70860          -418.04881                  53
      2700               6.480             0.00000             2.56894          -420.71613          -418.14718                  55
      2800               6.141             0.00000             2.43442          -420.53361          -418.09920                  57
      2900               6.880             0.00000             2.72759          -420.97314          -418.24556                  59
      3000               7.645             0.00000             3.03090          -421.44812          -418.41722                  61
      3100               9.108             0.00000             3.61099          -422.31723          -418.70624                  63
      3200               8.668             0.00000             3.43625          -422.67322          -419.23697                  65
      3300               8.608             0.00000             3.41265          -421.75621          -418.34356                  67
      3400               7.292             0.00000             2.89085          -421.11054          -418.21969                  69
      3500               9.073             0.00000             3.59714          -421.91558          -418.31844                  71
      3600               8.686             0.00000             3.44340          -422.27609          -418.83269                  73
      3700               8.415             0.00000             3.33608          -422.05141          -418.71533                  75
      3800               8.913             0.00000             3.53358          -422.19204          -418.65845                  77
      3900               9.694             0.00000             3.84299          -422.17774          -418.33474                  79
      4000               9.398             0.00000             3.72591          -422.23163          -418.50572                  81
      4100               7.567             0.00000             2.99993          -421.46209          -418.46215                  83
      4200               8.013             0.00000             3.17684          -421.35765          -418.18081                  85
      4300               8.267             0.00000             3.27758          -421.38350          -418.10592                  87
      4400               8.272             0.00000             3.27923          -421.70464          -418.42541                  89
      4500               6.620             0.00000             2.62467          -421.43266          -418.80799                  91
      4600               7.750             0.00000             3.07230          -421.59614          -418.52384                  93
      4700               7.299             0.00000             2.89355          -421.10495          -418.21139                  95
      4800               7.870             0.00000             3.11992          -421.14161          -418.02168                  97
      4900               7.900             0.00000             3.13211          -421.06032          -417.92822                  99
      5000               9.512             0.00000             3.77097          -422.31361          -418.54264                 101
      5100               7.808             0.00000             3.09543          -421.95047          -418.85503                 103
      5200               8.618             0.00000             3.41657          -422.11744          -418.70086                 105
      5300               7.028             0.00000             2.78609          -421.31033          -418.52423                 107
      5400               5.994             0.00000             2.37614          -420.71617          -418.34002                 109
      5500               7.732             0.00000             3.06535          -421.52925          -418.46389                 111
      5600               7.593             0.00000             3.01037          -421.84998          -418.83961                 113
      5700               9.042             0.00000             3.58470          -422.18237          -418.59767                 115
      5800               9.036             0.00000             3.58221          -421.88385          -418.30164                 117
      5900               9.624             0.00000             3.81525          -422.57843          -418.76318                 119
      6000               8.860             0.00000             3.51238          -422.32481          -418.81243                 121
      6100               8.133             0.00000             3.22447          -421.78468          -418.56022                 123
      6200               8.950             0.00000             3.54802          -421.74562          -418.19760                 125
      6300               7.007             0.00000             2.77794          -421.36236          -418.58442                 127
      6400               8.060             0.00000             3.19526          -421.54455          -418.34928                 129
      6500               8.015             0.00000             3.17769          -421.71990          -418.54221                 131
      6600               5.259             0.00000             2.08475          -420.32019          -418.23545                 133
      6700               6.071             0.00000             2.40671          -420.71656          -418.30985                 135
      6800               8.728             0.00000             3.46019          -421.77136          -418.31117                 137
      6900              10.006             0.00000             3.96669          -422.80009          -418.83340                 139
      7000               9.890             0.00000             3.92098          -422.59038          -418.66940                 141
      7100               8.602             0.00000             3.41014          -421.82767          -418.41753                 143
      7200               7.724             0.00000             3.06216          -421.44051          -418.37835                 145
      7300              10.216             0.00000             4.04993          -422.50781          -418.45788                 147
      7400              10.463             0.00000             4.14806          -422.98358          -418.83553                 149
      7500               7.210             0.00000             2.85856          -421.46666          -418.60810                 151
      7600               7.102             0.00000             2.81567          -421.17029          -418.35463                 153
      7700               7.249             0.00000             2.87397          -421.36261          -418.48865                 155
      7800               7.720             0.00000             3.06056          -421.33040          -418.26984                 157
      7900               7.358             0.00000             2.91717          -421.77593          -418.85876                 159
      8000               6.971             0.00000             2.76384          -421.49011          -418.72627                 161
      8100               7.385             0.00000             2.92773          -421.53200          -418.60426                 163
      8200               7.622             0.00000             3.02181          -421.76440          -418.74259                 165
      8300               8.454             0.00000             3.35173          -421.99014          -418.63841                 167
      8400               8.619             0.00000             3.41687          -421.99880          -418.58193                 169
      8500              10.359             0.00000             4.10660          -422.83342          -418.72681                 171
      8600               8.492             0.00000             3.36679          -422.01259          -418.64580                 173
      8700               6.912             0.00000             2.74015          -421.16805          -418.42790                 175
      8800               8.024             0.00000             3.18107          -421.54190          -418.36083                 177
      8900               7.304             0.00000             2.89573          -421.66084          -418.76511                 179
      9000               7.729             0.00000             3.06422          -421.74766          -418.68344                 181
      9100               9.248             0.00000             3.66645          -421.81886          -418.15241                 183
      9200               8.879             0.00000             3.52008          -421.96580          -418.44572                 185
      9300               5.726             0.00000             2.27017          -421.08266          -418.81249                 187
      9400               6.717             0.00000             2.66306          -421.29493          -418.63188                 189
      9500               9.414             0.00000             3.73214          -422.13432          -418.40218                 191
      9600               8.827             0.00000             3.49944          -422.01935          -418.51991                 193
      9700               8.946             0.00000             3.54661          -421.67611          -418.12950                 195
      9800               9.600             0.00000             3.80609          -422.23024          -418.42415                 197
      9900               9.215             0.00000             3.65326          -422.56057          -418.90731                 199
     10000               8.231             0.00000             3.26330          -421.91019          -418.64689                 201
     10100               8.637             0.00000             3.42423          -422.14251          -418.71828                 203
     10200               7.832             0.00000             3.10504          -421.92059          -418.81555                 205
     10300               6.632             0.00000             2.62912          -421.46459          -418.83548                 207
     10400               8.371             0.00000             3.31863          -421.53581          -418.21719                 209
     10500               7.412             0.00000             2.93861          -420.99939          -418.06078                 211
     10600               8.240             0.00000             3.26667          -421.94795          -418.68128                 213
     10700               8.034             0.00000             3.18492          -421.78495          -418.60003                 215
     10800               7.858             0.00000             3.11527          -421.71006          -418.59479                 217
     10900               8.291             0.00000             3.28682          -421.78018          -418.49336                 219
     11000               7.139             0.00000             2.83043          -421.23038          -418.39996                 221
     11100               7.446             0.00000             2.95191          -421.23612          -418.28421                 223
     11200               9.013             0.00000             3.57313          -421.93098          -418.35785                 225
