        It                   T                   P               E_kin               E_pot               E_tot             Snapsh.
         0               0.027             0.00000             0.09801         -3638.28074         -3638.18273                   1
         1               0.095             0.00000             0.34997         -3638.32965         -3637.97968                   2
         2               0.184             0.00000             0.67344         -3638.34957         -3637.67613                   3
         3               0.277             0.00000             1.01821         -3638.33793         -3637.31971                   4
         4               0.375             0.00000             1.37649         -3638.33582         -3636.95932                   5
         5               0.472             0.00000             1.73320         -3638.35974         -3636.62654                   6
         6               0.556             0.00000             2.04200         -3638.36955         -3636.32755                   7
         7               0.618             0.00000             2.26618         -3638.31743         -3636.05125                   8
         8               0.660             0.00000             2.42332         -3638.20750         -3635.78418                   9
         9               0.699             0.00000             2.56544         -3638.08562         -3635.52018                  10
        10               0.741             0.00000             2.71729         -3637.97988         -3635.26258                  11
        11               0.777             0.00000             2.85148         -3637.87543         -3635.02394                  12
        12               0.797             0.00000             2.92607         -3637.75061         -3634.82454                  13
        13               0.799             0.00000             2.93018         -3637.61618         -3634.68600                  14
        14               0.786             0.00000             2.88387         -3637.50333         -3634.61945                  15
        15               0.765             0.00000             2.80579         -3637.42109         -3634.61530                  16
        16               0.735             0.00000             2.69870         -3637.34154         -3634.64283                  17
        17               0.700             0.00000             2.56868         -3637.22911         -3634.66043                  18
        18               0.666             0.00000             2.44546         -3637.07512         -3634.62966                  19
        19               0.646             0.00000             2.37196         -3636.89802         -3634.52605                  20
        20               0.646             0.00000             2.37159         -3636.71499         -3634.34340                  21
        21               0.662             0.00000             2.42978         -3636.52261         -3634.09283                  22
        22               0.684             0.00000             2.51046         -3636.30895         -3633.79848                  23
        23               0.706             0.00000             2.58959         -3636.08045         -3633.49085                  24
        24               0.727             0.00000             2.66920         -3635.86744         -3633.19824                  25
        25               0.752             0.00000             2.75937         -3635.69769         -3632.93832                  26
        26               0.778             0.00000             2.85521         -3635.56923         -3632.71401                  27
        27               0.802             0.00000             2.94191         -3635.45905         -3632.51714                  28
        28               0.823             0.00000             3.02065         -3635.35811         -3632.33746                  29
        29               0.849             0.00000             3.11459         -3635.28454         -3632.16995                  30
        30               0.883             0.00000             3.23849         -3635.25416         -3632.01567                  31
        31               0.919             0.00000             3.37081         -3635.24939         -3631.87858                  32
        32               0.946             0.00000             3.47110         -3635.23512         -3631.76402                  33
        33               0.961             0.00000             3.52452         -3635.20310         -3631.67858                  34
        34               0.969             0.00000             3.55397         -3635.18072         -3631.62675                  35
        35               0.977             0.00000             3.58354         -3635.18755         -3631.60401                  36
        36               0.983             0.00000             3.60709         -3635.20051         -3631.59342                  37
        37               0.983             0.00000             3.60749         -3635.17860         -3631.57111                  38
        38               0.980             0.00000             3.59543         -3635.11167         -3631.51625                  39
        39               0.982             0.00000             3.60513         -3635.02157         -3631.41644                  40
        40               0.994             0.00000             3.64873         -3634.91567         -3631.26694                  41
        41               1.007             0.00000             3.69554         -3634.76552         -3631.06998                  42
        42               1.011             0.00000             3.70914         -3634.54694         -3630.83780                  43
        43               1.006             0.00000             3.69183         -3634.28542         -3630.59359                  44
        44               1.002             0.00000             3.67584         -3634.04050         -3630.36466                  45
        45               1.002             0.00000             3.67831         -3633.84995         -3630.17164                  46
        46               1.004             0.00000             3.68587         -3633.70871         -3630.02284                  47
        47               1.005             0.00000             3.68657         -3633.60344         -3629.91687                  48
        48               1.007             0.00000             3.69676         -3633.54406         -3629.84730                  49
        49               1.020             0.00000             3.74227         -3633.54675         -3629.80448                  50
        50               1.042             0.00000             3.82276         -3633.59941         -3629.77665                  51
        51               1.066             0.00000             3.91071         -3633.66515         -3629.75444                  52
        52               1.086             0.00000             3.98463         -3633.72095         -3629.73632                  53
        53               1.104             0.00000             4.04960         -3633.77862         -3629.72902                  54
        54               1.123             0.00000             4.12192         -3633.86309         -3629.74118                  55
        55               1.146             0.00000             4.20456         -3633.98021         -3629.77564                  56
        56               1.168             0.00000             4.28611         -3634.11197         -3629.82586                  57
        57               1.188             0.00000             4.35817         -3634.23525         -3629.87708                  58
        58               1.206             0.00000             4.42422         -3634.33428         -3629.91007                  59
        59               1.224             0.00000             4.49075         -3634.39688         -3629.90613                  60
        60               1.242             0.00000             4.55605         -3634.40934         -3629.85329                  61
        61               1.257             0.00000             4.61110         -3634.36299         -3629.75188                  62
        62               1.267             0.00000             4.64961         -3634.26622         -3629.61662                  63
        63               1.274             0.00000             4.67482         -3634.14787         -3629.47305                  64
        64               1.280             0.00000             4.69650         -3634.04595         -3629.34946                  65
        65               1.287             0.00000             4.72112         -3633.98819         -3629.26707                  66
        66               1.293             0.00000             4.74549         -3633.97831         -3629.23282                  67
        67               1.297             0.00000             4.76080         -3633.99872         -3629.23792                  68
        68               1.298             0.00000             4.76304         -3634.02578         -3629.26274                  69
        69               1.296             0.00000             4.75678         -3634.04208         -3629.28530                  70
        70               1.294             0.00000             4.74773         -3634.03690         -3629.28917                  71
        71               1.291             0.00000             4.73621         -3634.00491         -3629.26870                  72
        72               1.287             0.00000             4.72293         -3633.95349         -3629.23056                  73
        73               1.286             0.00000             4.71867         -3633.90912         -3629.19045                  74
        74               1.292             0.00000             4.73962         -3633.90436         -3629.16474                  75
        75               1.306             0.00000             4.79064         -3633.95119         -3629.16054                  76
        76               1.324             0.00000             4.85944         -3634.02991         -3629.17048                  77
        77               1.344             0.00000             4.93115         -3634.10676         -3629.17562                  78
        78               1.363             0.00000             5.00240         -3634.15629         -3629.15388                  79
        79               1.383             0.00000             5.07445         -3634.16288         -3629.08843                  80
        80               1.400             0.00000             5.13830         -3634.11187         -3628.97357                  81
        81               1.411             0.00000             5.17901         -3633.99747         -3628.81846                  82
        82               1.416             0.00000             5.19578         -3633.84252         -3628.64674                  83
        83               1.419             0.00000             5.20606         -3633.69543         -3628.48937                  84
        84               1.423             0.00000             5.22301         -3633.59510         -3628.37210                  85
        85               1.427             0.00000             5.23677         -3633.54189         -3628.30511                  86
        86               1.425             0.00000             5.22735         -3633.50877         -3628.28142                  87
        87               1.415             0.00000             5.19054         -3633.47344         -3628.28290                  88
        88               1.401             0.00000             5.13952         -3633.42760         -3628.28808                  89
        89               1.385             0.00000             5.08200         -3633.36021         -3628.27820                  90
        90               1.365             0.00000             5.01009         -3633.25268         -3628.24259                  91
        91               1.341             0.00000             4.91990         -3633.10265         -3628.18276                  92
        92               1.317             0.00000             4.83091         -3632.94242         -3628.11151                  93
        93               1.301             0.00000             4.77342         -3632.81832         -3628.04490                  94
        94               1.297             0.00000             4.75887         -3632.75093         -3627.99206                  95
        95               1.301             0.00000             4.77318         -3632.72344         -3627.95026                  96
        96               1.308             0.00000             4.79984         -3632.70754         -3627.90770                  97
        97               1.319             0.00000             4.83885         -3632.68861         -3627.84976                  98
        98               1.335             0.00000             4.89710         -3632.66126         -3627.76417                  99
        99               1.354             0.00000             4.96868         -3632.61329         -3627.64461                 100
       100               1.373             0.00000             5.03622         -3632.53011         -3627.49389                 101
       101               1.387             0.00000             5.09121         -3632.41623         -3627.32502                 102
       102               1.402             0.00000             5.14375         -3632.30141         -3627.15766                 103
       103               1.419             0.00000             5.20780         -3632.21821         -3627.01041                 104
       104               1.439             0.00000             5.28159         -3632.17535         -3626.89375                 105
       105               1.458             0.00000             5.34831         -3632.15622         -3626.80790                 106
       106               1.470             0.00000             5.39415         -3632.13968         -3626.74553                 107
       107               1.477             0.00000             5.41991         -3632.11616         -3626.69624                 108
       108               1.481             0.00000             5.43348         -3632.08348         -3626.65000                 109
       109               1.481             0.00000             5.43575         -3632.03499         -3626.59924                 110
       110               1.477             0.00000             5.41989         -3631.96016         -3626.54027                 111
       111               1.467             0.00000             5.38445         -3631.85848         -3626.47402                 112
       112               1.456             0.00000             5.34224         -3631.74722         -3626.40498                 113
       113               1.447             0.00000             5.31107         -3631.64907         -3626.33800                 114
       114               1.443             0.00000             5.29626         -3631.57130         -3626.27504                 115
       115               1.441             0.00000             5.28696         -3631.50116         -3626.21420                 116
       116               1.437             0.00000             5.27208         -3631.42404         -3626.15196                 117
       117               1.432             0.00000             5.25570         -3631.34174         -3626.08604                 118
       118               1.431             0.00000             5.25154         -3631.26754         -3626.01600                 119
       119               1.435             0.00000             5.26407         -3631.20592         -3625.94185                 120
       120               1.440             0.00000             5.28312         -3631.14642         -3625.86331                 121
       121               1.445             0.00000             5.30042         -3631.08152         -3625.78110                 122
       122               1.451             0.00000             5.32427         -3631.02237         -3625.69810                 123
       123               1.463             0.00000             5.36926         -3630.98716         -3625.61790                 124
       124               1.481             0.00000             5.43352         -3630.97545         -3625.54193                 125
       125               1.498             0.00000             5.49592         -3630.96468         -3625.46877                 126
       126               1.510             0.00000             5.53908         -3630.93530         -3625.39622                 127
       127               1.517             0.00000             5.56757         -3630.89064         -3625.32307                 128
       128               1.525             0.00000             5.59614         -3630.84391         -3625.24777                 129
       129               1.533             0.00000             5.62536         -3630.79155         -3625.16619                 130
       130               1.537             0.00000             5.63937         -3630.71175         -3625.07238                 131
       131               1.534             0.00000             5.62884         -3630.59135         -3624.96251                 132
       132               1.528             0.00000             5.60582         -3630.44367         -3624.83785                 133
       133               1.523             0.00000             5.58892         -3630.29281         -3624.70389                 134
       134               1.521             0.00000             5.57951         -3630.14683         -3624.56733                 135
       135               1.516             0.00000             5.56212         -3629.99687         -3624.43474                 136
       136               1.507             0.00000             5.52847         -3629.84152         -3624.31305                 137
       137               1.497             0.00000             5.49136         -3629.70034         -3624.20898                 138
       138               1.491             0.00000             5.46976         -3629.59616         -3624.12640                 139
       139               1.490             0.00000             5.46583         -3629.52997         -3624.06414                 140
       140               1.489             0.00000             5.46482         -3629.48215         -3624.01733                 141
       141               1.487             0.00000             5.45692         -3629.43836         -3623.98144                 142
       142               1.486             0.00000             5.45089         -3629.40593         -3623.95504                 143
       143               1.489             0.00000             5.46191         -3629.40067         -3623.93875                 144
       144               1.496             0.00000             5.49117         -3629.42364         -3623.93247                 145
       145               1.506             0.00000             5.52503         -3629.45889         -3623.93386                 146
       146               1.514             0.00000             5.55412         -3629.49310         -3623.93899                 147
       147               1.522             0.00000             5.58581         -3629.52898         -3623.94317                 148
       148               1.535             0.00000             5.63308         -3629.57377         -3623.94069                 149
       149               1.552             0.00000             5.69469         -3629.61946         -3623.92477                 150
       150               1.568             0.00000             5.75335         -3629.64311         -3623.88977                 151
       151               1.579             0.00000             5.79426         -3629.62901         -3623.83475                 152
       152               1.586             0.00000             5.81984         -3629.58494         -3623.76510                 153
       153               1.592             0.00000             5.84225         -3629.53242         -3623.69018                 154
       154               1.599             0.00000             5.86553         -3629.48443         -3623.61891                 155
       155               1.603             0.00000             5.88190         -3629.43884         -3623.55693                 156
       156               1.604             0.00000             5.88577         -3629.39251         -3623.50674                 157
       157               1.604             0.00000             5.88451         -3629.35350         -3623.46898                 158
       158               1.605             0.00000             5.89050         -3629.33380         -3623.44330                 159
       159               1.609             0.00000             5.90526         -3629.33408         -3623.42882                 160
       160               1.613             0.00000             5.91758         -3629.34310         -3623.42553                 161
       161               1.613             0.00000             5.91762         -3629.35332         -3623.43570                 162
       162               1.610             0.00000             5.90838         -3629.37169         -3623.46331                 163
       163               1.608             0.00000             5.90078         -3629.41146         -3623.51068                 164
       164               1.608             0.00000             5.90111         -3629.47615         -3623.57504                 165
       165               1.610             0.00000             5.90771         -3629.55557         -3623.64785                 166
       166               1.613             0.00000             5.91883         -3629.63628         -3623.71745                 167
       167               1.618             0.00000             5.93832         -3629.71131         -3623.77299                 168
       168               1.627             0.00000             5.97088         -3629.77854         -3623.80766                 169
       169               1.639             0.00000             6.01374         -3629.83412         -3623.82037                 170
       170               1.651             0.00000             6.05659         -3629.87270         -3623.81611                 171
