        It                   T                   P               E_kin               E_pot               E_tot             Snapsh.
         0               0.018             0.00000             0.00722          -418.52129          -418.51407                   1
         1               0.069             0.00000             0.02720          -418.53826          -418.51106                   -
         2               0.142             0.00000             0.05628          -418.56287          -418.50660                   -
         3               0.230             0.00000             0.09115          -418.59267          -418.50151                   -
         4               0.327             0.00000             0.12968          -418.62646          -418.49678                   -
         5               0.428             0.00000             0.16955          -418.66262          -418.49308                   -
         6               0.523             0.00000             0.20729          -418.69786          -418.49056                   -
         7               0.603             0.00000             0.23925          -418.72823          -418.48897                   -
         8               0.665             0.00000             0.26346          -418.75140          -418.48794                   -
         9               0.707             0.00000             0.28010          -418.76734          -418.48724                   -
        10               0.731             0.00000             0.28998          -418.77679          -418.48681                   -
        11               0.739             0.00000             0.29302          -418.77968          -418.48666                   -
        12               0.728             0.00000             0.28857          -418.77548          -418.48691                   -
        13               0.698             0.00000             0.27691          -418.76462          -418.48771                   -
        14               0.655             0.00000             0.25983          -418.74901          -418.48918                   -
        15               0.605             0.00000             0.23981          -418.73090          -418.49109                   -
        16               0.552             0.00000             0.21887          -418.71164          -418.49277                   -
        17               0.501             0.00000             0.19867          -418.69192          -418.49325                   -
        18               0.457             0.00000             0.18111          -418.67270          -418.49159                   -
        19               0.425             0.00000             0.16839          -418.65549          -418.48711                   -
        20               0.409             0.00000             0.16198          -418.64154          -418.47956                   -
        21               0.409             0.00000             0.16211          -418.63122          -418.46910                   -
        22               0.424             0.00000             0.16819          -418.62451          -418.45632                   -
        23               0.453             0.00000             0.17953          -418.62162          -418.44209                   -
        24               0.493             0.00000             0.19542          -418.62278          -418.42736                   -
        25               0.541             0.00000             0.21456          -418.62735          -418.41280                   -
        26               0.593             0.00000             0.23511          -418.63382          -418.39871                   -
        27               0.645             0.00000             0.25567          -418.64080          -418.38513                   -
        28               0.696             0.00000             0.27581          -418.64783          -418.37201                   -
        29               0.745             0.00000             0.29536          -418.65474          -418.35939                   -
        30               0.790             0.00000             0.31329          -418.66063          -418.34734                   -
        31               0.827             0.00000             0.32787          -418.66394          -418.33607                   -
        32               0.852             0.00000             0.33796          -418.66392          -418.32597                   -
        33               0.868             0.00000             0.34396          -418.66147          -418.31751                   -
        34               0.875             0.00000             0.34704          -418.65808          -418.31104                   -
        35               0.877             0.00000             0.34762          -418.65411          -418.30648                   -
        36               0.871             0.00000             0.34528          -418.64854          -418.30327                   -
        37               0.858             0.00000             0.34007          -418.64068          -418.30061                   -
        38               0.841             0.00000             0.33352          -418.63134          -418.29783                   -
        39               0.826             0.00000             0.32758          -418.62206          -418.29448                   -
        40               0.814             0.00000             0.32284          -418.61321          -418.29037                   -
        41               0.802             0.00000             0.31811          -418.60366          -418.28555                   -
        42               0.787             0.00000             0.31208          -418.59249          -418.28041                   -
        43               0.769             0.00000             0.30488          -418.58050          -418.27562                   -
        44               0.751             0.00000             0.29775          -418.56965          -418.27190                   -
        45               0.735             0.00000             0.29138          -418.56103          -418.26964                   -
        46               0.720             0.00000             0.28527          -418.55406          -418.26879                   -
        47               0.704             0.00000             0.27892          -418.54792          -418.26900                   -
        48               0.689             0.00000             0.27311          -418.54307          -418.26996                   -
        49               0.680             0.00000             0.26955          -418.54102          -418.27148                   -
        50               0.679             0.00000             0.26918          -418.54265          -418.27347                   -
        51               0.685             0.00000             0.27144          -418.54736          -418.27592                   -
        52               0.694             0.00000             0.27523          -418.55412          -418.27890                   -
        53               0.707             0.00000             0.28027          -418.56282          -418.28255                   -
        54               0.724             0.00000             0.28710          -418.57402          -418.28692                   -
        55               0.746             0.00000             0.29591          -418.58758          -418.29166                   -
        56               0.772             0.00000             0.30595          -418.60203          -418.29608                   -
        57               0.798             0.00000             0.31628          -418.61556          -418.29928                   -
        58               0.824             0.00000             0.32664          -418.62715          -418.30051                   -
        59               0.851             0.00000             0.33719          -418.63654          -418.29935                   -
        60               0.877             0.00000             0.34755          -418.64325          -418.29569                   -
        61               0.899             0.00000             0.35650          -418.64631          -418.28981                   -
        62               0.915             0.00000             0.36290          -418.64516          -418.28227                   -
        63               0.924             0.00000             0.36642          -418.64028          -418.27386                   -
        64               0.926             0.00000             0.36728          -418.63261          -418.26533                   -
        65               0.922             0.00000             0.36539          -418.62249          -418.25711                   -
        66               0.909             0.00000             0.36029          -418.60954          -418.24926                   -
        67               0.888             0.00000             0.35204          -418.59370          -418.24166                   -
        68               0.862             0.00000             0.34171          -418.57592          -418.23422                   -
        69               0.834             0.00000             0.33057          -418.55753          -418.22695                   -
        70               0.805             0.00000             0.31919          -418.53921          -418.22002                   -
        71               0.776             0.00000             0.30746          -418.52117          -418.21371                   -
        72               0.746             0.00000             0.29574          -418.50419          -418.20844                   -
        73               0.720             0.00000             0.28542          -418.49010          -418.20469                   -
        74               0.701             0.00000             0.27801          -418.48069          -418.20268                   -
        75               0.691             0.00000             0.27413          -418.47635          -418.20222                   -
        76               0.690             0.00000             0.27352          -418.47622          -418.20271                   -
        77               0.697             0.00000             0.27615          -418.47957          -418.20342                   -
        78               0.713             0.00000             0.28280          -418.48658          -418.20377                   -
        79               0.742             0.00000             0.29412          -418.49757          -418.20345                   -
        80               0.781             0.00000             0.30949          -418.51190          -418.20241                   -
        81               0.825             0.00000             0.32724          -418.52816          -418.20091                   -
        82               0.872             0.00000             0.34588          -418.54541          -418.19953                   -
        83               0.920             0.00000             0.36482          -418.56379          -418.19897                   -
        84               0.968             0.00000             0.38369          -418.58349          -418.19980                   -
        85               1.012             0.00000             0.40128          -418.60349          -418.20221                   -
        86               1.049             0.00000             0.41576          -418.62168          -418.20592                   -
        87               1.074             0.00000             0.42582          -418.63632          -418.21051                   -
        88               1.088             0.00000             0.43132          -418.64687          -418.21555                   -
        89               1.091             0.00000             0.43258          -418.65335          -418.22077                   -
        90               1.083             0.00000             0.42943          -418.65545          -418.22603                   -
        91               1.063             0.00000             0.42147          -418.65281          -418.23134                   -
        92               1.032             0.00000             0.40919          -418.64610          -418.23691                   -
        93               0.995             0.00000             0.39428          -418.63725          -418.24297                   -
        94               0.955             0.00000             0.37867          -418.62824          -418.24958                   -
        95               0.917             0.00000             0.36349          -418.61984          -418.25635                   -
        96               0.881             0.00000             0.34930          -418.61189          -418.26259                   -
        97               0.850             0.00000             0.33710          -418.60464          -418.26754                   -
        98               0.829             0.00000             0.32855          -418.59916          -418.27062                   -
        99               0.820             0.00000             0.32495          -418.59647          -418.27152                   -
       100               0.823             0.00000             0.32631          -418.59656          -418.27025                   -
       101               0.837             0.00000             0.33181          -418.59895          -418.26714                   -
       102               0.860             0.00000             0.34106          -418.60393          -418.26287                   -
       103               0.894             0.00000             0.35442          -418.61269          -418.25827                   -
       104               0.938             0.00000             0.37185          -418.62587          -418.25402                   -
       105               0.988             0.00000             0.39185          -418.64225          -418.25040                   -
