        It                   T                   P               E_kin               E_pot               E_tot             Snapsh.
         0               0.001             0.00000             0.00042          -418.80386          -418.80344                   1
         1               0.004             0.00000             0.00156          -418.80496          -418.80340                   -
         2               0.008             0.00000             0.00318          -418.80648          -418.80330                   -
         3               0.013             0.00000             0.00506          -418.80817          -418.80311                   -
         4               0.018             0.00000             0.00703          -418.80987          -418.80284                   -
         5               0.023             0.00000             0.00899          -418.81145          -418.80246                   -
         6               0.027             0.00000             0.01081          -418.81278          -418.80197                   -
         7               0.031             0.00000             0.01233          -418.81370          -418.80138                   -
         8               0.034             0.00000             0.01351          -418.81418          -418.80067                   -
         9               0.036             0.00000             0.01445          -418.81434          -418.79989                   -
        10               0.039             0.00000             0.01535          -418.81440          -418.79905                   -
        11               0.041             0.00000             0.01632          -418.81452          -418.79819                   -
        12               0.044             0.00000             0.01741          -418.81474          -418.79732                   -
        13               0.047             0.00000             0.01856          -418.81502          -418.79646                   -
        14               0.050             0.00000             0.01973          -418.81535          -418.79562                   -
        15               0.053             0.00000             0.02096          -418.81579          -418.79482                   -
        16               0.056             0.00000             0.02228          -418.81639          -418.79411                   -
        17               0.060             0.00000             0.02366          -418.81716          -418.79350                   -
        18               0.063             0.00000             0.02500          -418.81804          -418.79304                   -
        19               0.066             0.00000             0.02625          -418.81901          -418.79275                   -
        20               0.069             0.00000             0.02743          -418.82010          -418.79267                   -
        21               0.072             0.00000             0.02863          -418.82145          -418.79282                   -
        22               0.075             0.00000             0.02992          -418.82314          -418.79321                   -
        23               0.079             0.00000             0.03131          -418.82515          -418.79384                   -
        24               0.083             0.00000             0.03272          -418.82740          -418.79468                   -
        25               0.086             0.00000             0.03411          -418.82981          -418.79570                   -
        26               0.089             0.00000             0.03548          -418.83236          -418.79687                   -
        27               0.093             0.00000             0.03686          -418.83503          -418.79817                   -
        28               0.096             0.00000             0.03821          -418.83779          -418.79958                   -
        29               0.100             0.00000             0.03947          -418.84053          -418.80106                   -
        30               0.102             0.00000             0.04053          -418.84314          -418.80261                   -
        31               0.104             0.00000             0.04139          -418.84561          -418.80422                   -
        32               0.106             0.00000             0.04214          -418.84800          -418.80586                   -
        33               0.108             0.00000             0.04289          -418.85043          -418.80754                   -
        34               0.110             0.00000             0.04371          -418.85293          -418.80923                   -
        35               0.113             0.00000             0.04460          -418.85549          -418.81089                   -
        36               0.115             0.00000             0.04557          -418.85806          -418.81249                   -
        37               0.118             0.00000             0.04667          -418.86068          -418.81401                   -
        38               0.121             0.00000             0.04796          -418.86340          -418.81544                   -
        39               0.125             0.00000             0.04946          -418.86624          -418.81678                   -
        40               0.129             0.00000             0.05108          -418.86910          -418.81802                   -
        41               0.133             0.00000             0.05268          -418.87186          -418.81918                   -
        42               0.137             0.00000             0.05421          -418.87445          -418.82024                   -
        43               0.140             0.00000             0.05569          -418.87693          -418.82124                   -
        44               0.144             0.00000             0.05718          -418.87934          -418.82216                   -
        45               0.148             0.00000             0.05868          -418.88169          -418.82300                   -
        46               0.152             0.00000             0.06014          -418.88387          -418.82374                   -
        47               0.155             0.00000             0.06150          -418.88583          -418.82433                   -
        48               0.158             0.00000             0.06280          -418.88758          -418.82478                   -
        49               0.162             0.00000             0.06413          -418.88920          -418.82506                   -
        50               0.165             0.00000             0.06553          -418.89072          -418.82519                   -
        51               0.169             0.00000             0.06694          -418.89211          -418.82517                   -
        52               0.172             0.00000             0.06830          -418.89331          -418.82501                   -
        53               0.176             0.00000             0.06962          -418.89433          -418.82471                   -
        54               0.179             0.00000             0.07098          -418.89528          -418.82430                   -
        55               0.183             0.00000             0.07248          -418.89625          -418.82378                   -
        56               0.187             0.00000             0.07412          -418.89726          -418.82314                   -
        57               0.191             0.00000             0.07586          -418.89824          -418.82238                   -
        58               0.196             0.00000             0.07764          -418.89911          -418.82147                   -
        59               0.200             0.00000             0.07948          -418.89990          -418.82042                   -
        60               0.205             0.00000             0.08141          -418.90066          -418.81925                   -
        61               0.210             0.00000             0.08342          -418.90140          -418.81798                   -
        62               0.215             0.00000             0.08543          -418.90206          -418.81662                   -
        63               0.220             0.00000             0.08736          -418.90258          -418.81522                   -
        64               0.225             0.00000             0.08918          -418.90298          -418.81380                   -
        65               0.229             0.00000             0.09093          -418.90332          -418.81239                   -
        66               0.234             0.00000             0.09267          -418.90368          -418.81100                   -
        67               0.238             0.00000             0.09441          -418.90404          -418.80963                   -
        68               0.242             0.00000             0.09613          -418.90437          -418.80824                   -
        69               0.247             0.00000             0.09783          -418.90464          -418.80682                   -
        70               0.251             0.00000             0.09954          -418.90488          -418.80534                   -
        71               0.256             0.00000             0.10133          -418.90514          -418.80381                   -
