        It                   T                   P               E_kin               E_pot               E_tot             Snapsh.
         0             300.000             0.00000           118.93432          -413.09804          -294.16372                   1
         1             314.850             0.00000           124.82156          -399.96106          -275.13950                   -
         2             329.700             0.00000           130.70881          -385.43769          -254.72888                   -
         3             344.550             0.00000           136.59606          -373.17370          -236.57764                   -
         4             359.400             0.00000           142.48331          -360.82882          -218.34551                   -
         5             374.250             0.00000           148.37056          -344.80328          -196.43272                   2
         6             389.100             0.00000           154.25781          -327.05801          -172.80021                   -
         7             403.950             0.00000           160.14506          -314.79873          -154.65368                   -
         8             418.800             0.00000           166.03230          -312.21935          -146.18704                   -
         9             433.650             0.00000           171.91955          -314.13969          -142.22014                   -
        10             448.500             0.00000           177.80680          -311.71449          -133.90769                   3
        11             463.350             0.00000           183.69405          -302.16075          -118.46670                   -
        12             478.200             0.00000           189.58130          -290.31944          -100.73814                   -
        13             493.050             0.00000           195.46855          -282.43848           -86.96993                   -
        14             507.900             0.00000           201.35580          -279.52282           -78.16702                   -
        15             522.750             0.00000           207.24304          -277.74931           -70.50627                   4
        16             537.600             0.00000           213.13029          -274.47365           -61.34335                   -
        17             552.450             0.00000           219.01754          -271.13049           -52.11295                   -
        18             567.300             0.00000           224.90479          -270.37776           -45.47297                   -
        19             582.150             0.00000           230.79204          -272.29897           -41.50693                   -
        20             597.000             0.00000           236.67929          -274.25593           -37.57664                   5
        21             611.850             0.00000           242.56654          -273.40274           -30.83621                   -
        22             626.700             0.00000           248.45378          -268.23538           -19.78159                   -
        23             641.550             0.00000           254.34103          -258.68442            -4.34338                   -
        24             656.400             0.00000           260.22828          -246.32781            13.90047                   -
        25             671.250             0.00000           266.11553          -234.30031            31.81522                   6
        26             686.100             0.00000           272.00278          -225.06023            46.94255                   -
        27             700.950             0.00000           277.89003          -217.24135            60.64867                   -
        28             715.800             0.00000           283.77728          -206.37590            77.40137                   -
        29             730.650             0.00000           289.66452          -190.45686            99.20767                   -
        30             745.500             0.00000           295.55177          -173.91011           121.64166                   7
        31             760.350             0.00000           301.43902          -163.90502           137.53400                   -
        32             775.200             0.00000           307.32627          -161.68307           145.64320                   -
        33             790.050             0.00000           313.21352          -160.30226           152.91126                   -
        34             804.900             0.00000           319.10077          -153.68282           165.41795                   -
        35             819.750             0.00000           324.98802          -145.07709           179.91092                   8
        36             834.600             0.00000           330.87526          -143.29999           187.57527                   -
        37             849.450             0.00000           336.76251          -150.18545           186.57706                   -
        38             864.300             0.00000           342.64976          -155.64971           187.00005                   -
        39             879.150             0.00000           348.53701          -148.99478           199.54223                   -
        40             894.000             0.00000           354.42426          -131.71559           222.70867                   9
        41             908.850             0.00000           360.31151          -116.13533           244.17618                   -
        42             923.700             0.00000           366.19876          -111.20113           254.99763                   -
        43             938.550             0.00000           372.08600          -111.54576           260.54024                   -
        44             953.400             0.00000           377.97325          -105.58890           272.38436                   -
        45             968.250             0.00000           383.86050           -91.88876           291.97174                  10
        46             983.100             0.00000           389.74775           -81.39596           308.35179                   -
        47             997.950             0.00000           395.63500           -82.95273           312.68227                   -
        48            1012.800             0.00000           401.52225           -90.10722           311.41503                   -
        49            1027.650             0.00000           407.40950           -88.44650           318.96299                   -
        50            1042.500             0.00000           413.29674           -73.78077           339.51597                  11
        51            1057.350             0.00000           419.18399           -57.03537           362.14862                   -
        52            1072.200             0.00000           425.07124           -51.26547           373.80577                   -
        53            1087.050             0.00000           430.95849           -56.17129           374.78720                   -
        54            1101.900             0.00000           436.84574           -60.15276           376.69298                   -
        55            1116.750             0.00000           442.73299           -56.74149           385.99150                  12
        56            1131.600             0.00000           448.62024           -51.98442           396.63581                   -
        57            1146.450             0.00000           454.50748           -54.70815           399.79934                   -
        58            1161.300             0.00000           460.39473           -63.39483           396.99990                   -
        59            1176.150             0.00000           466.28198           -67.12591           399.15607                   -
        60            1191.000             0.00000           472.16923           -58.70597           413.46326                  13
        61            1205.850             0.00000           478.05648           -42.09567           435.96081                   -
        62            1220.700             0.00000           483.94373           -26.82243           457.12130                   -
        63            1235.550             0.00000           489.83098           -17.79436           472.03661                   -
        64            1250.400             0.00000           495.71822           -12.44170           483.27652                   -
        65            1265.250             0.00000           501.60547            -6.83309           494.77238                  14
        66            1280.100             0.00000           507.49272            -0.83201           506.66071                   -
        67            1294.950             0.00000           513.37997             3.61211           516.99208                   -
        68            1309.800             0.00000           519.26722             6.22177           525.48899                   -
        69            1324.650             0.00000           525.15447             8.43541           533.58988                   -
        70            1339.500             0.00000           531.04172            11.24069           542.28241                  15
        71            1354.350             0.00000           536.92897            15.16555           552.09452                   -
        72            1369.200             0.00000           542.81621            21.67749           564.49370                   -
        73            1384.050             0.00000           548.70346            31.88984           580.59330                   -
        74            1398.900             0.00000           554.59071            43.25299           597.84371                   -
        75            1413.750             0.00000           560.47796            50.06695           610.54491                  16
        76            1428.600             0.00000           566.36521            49.61197           615.97717                   -
        77            1443.450             0.00000           572.25246            46.55463           618.80709                   -
        78            1458.300             0.00000           578.13971            48.26573           626.40543                   -
        79            1473.150             0.00000           584.02695            56.20372           640.23067                   -
        80            1488.000             0.00000           589.91420            64.88146           654.79566                  17
        81            1502.850             0.00000           595.80145            70.04877           665.85022                   -
        82            1517.700             0.00000           601.68870            75.05989           676.74859                   -
        83            1532.550             0.00000           607.57595            85.93485           693.51080                   -
        84            1547.400             0.00000           613.46320           101.70307           715.16627                   -
        85            1562.250             0.00000           619.35045           113.98949           733.33993                  18
        86            1577.100             0.00000           625.23769           117.69417           742.93187                   -
        87            1591.950             0.00000           631.12494           118.89025           750.01519                   -
        88            1606.800             0.00000           637.01219           127.61211           764.62430                   -
        89            1621.650             0.00000           642.89944           144.40089           787.30033                   -
        90            1636.500             0.00000           648.78669           159.02253           807.80922                  19
        91            1651.350             0.00000           654.67394           164.02398           818.69792                   -
        92            1666.200             0.00000           660.56119           165.87005           826.43123                   -
        93            1681.050             0.00000           666.44843           176.89678           843.34521                   -
        94            1695.900             0.00000           672.33568           197.79552           870.13120                   -
        95            1710.750             0.00000           678.22293           214.42687           892.64980                  20
