        It                   T                   P               E_kin               E_pot               E_tot             Snapsh.
         0             300.000             0.00000          1120.48644         -5140.54535         -4020.05891                   1
         1             300.000             0.00000          1120.48644         -5064.13754         -3943.65110                   -
         2             300.000             0.00000          1120.48644         -5058.20277         -3937.71633                   -
         3             300.000             0.00000          1120.48644         -5081.21765         -3960.73121                   -
         4             300.000             0.00000          1120.48644         -5042.19679         -3921.71035                   -
         5             300.000             0.00000          1120.48644         -4973.10946         -3852.62301                   2
         6             300.000             0.00000          1120.48644         -4968.36694         -3847.88050                   -
         7             300.000             0.00000          1120.48644         -5005.38237         -3884.89592                   -
         8             300.000             0.00000          1120.48644         -4975.36093         -3854.87449                   -
         9             300.000             0.00000          1120.48644         -4876.42919         -3755.94275                   -
        10             300.000             0.00000          1120.48644         -4816.42805         -3695.94161                   3
        11             300.000             0.00000          1120.48644         -4832.82490         -3712.33846                   -
        12             300.000             0.00000          1120.48644         -4830.77728         -3710.29084                   -
        13             300.000             0.00000          1120.48644         -4767.26482         -3646.77838                   -
        14             300.000             0.00000          1120.48644         -4726.42448         -3605.93804                   -
        15             300.000             0.00000          1120.48644         -4760.63117         -3640.14472                   4
        16             300.000             0.00000          1120.48644         -4779.88131         -3659.39487                   -
        17             300.000             0.00000          1120.48644         -4710.51087         -3590.02443                   -
        18             300.000             0.00000          1120.48644         -4624.87087         -3504.38443                   -
        19             300.000             0.00000          1120.48644         -4625.14229         -3504.65585                   -
        20             300.000             0.00000          1120.48644         -4668.39081         -3547.90437                   5
        21             300.000             0.00000          1120.48644         -4648.78080         -3528.29436                   -
        22             300.000             0.00000          1120.48644         -4585.04452         -3464.55808                   -
        23             300.000             0.00000          1120.48644         -4572.32682         -3451.84038                   -
        24             300.000             0.00000          1120.48644         -4603.54070         -3483.05426                   -
        25             300.000             0.00000          1120.48644         -4579.45050         -3458.96406                   6
        26             300.000             0.00000          1120.48644         -4494.33470         -3373.84826                   -
        27             300.000             0.00000          1120.48644         -4452.88924         -3332.40280                   -
        28             300.000             0.00000          1120.48644         -4496.08576         -3375.59932                   -
        29             300.000             0.00000          1120.48644         -4528.78891         -3408.30247                   -
        30             300.000             0.00000          1120.48644         -4494.47181         -3373.98537                   7
        31             300.000             0.00000          1120.48644         -4460.21979         -3339.73335                   -
        32             300.000             0.00000          1120.48644         -4482.39784         -3361.91140                   -
        33             300.000             0.00000          1120.48644         -4499.29936         -3378.81292                   -
        34             300.000             0.00000          1120.48644         -4450.79421         -3330.30776                   -
        35             300.000             0.00000          1120.48644         -4396.66240         -3276.17596                   8
        36             300.000             0.00000          1120.48644         -4422.24459         -3301.75814                   -
        37             300.000             0.00000          1120.48644         -4487.10992         -3366.62347                   -
        38             300.000             0.00000          1120.48644         -4494.47388         -3373.98744                   -
        39             300.000             0.00000          1120.48644         -4452.59717         -3332.11073                   -
        40             300.000             0.00000          1120.48644         -4441.01559         -3320.52914                   9
        41             300.000             0.00000          1120.48644         -4465.39095         -3344.90451                   -
        42             300.000             0.00000          1120.48644         -4453.96474         -3333.47830                   -
        43             300.000             0.00000          1120.48644         -4399.70059         -3279.21415                   -
        44             300.000             0.00000          1120.48644         -4381.03032         -3260.54388                   -
        45             300.000             0.00000          1120.48644         -4427.62157         -3307.13513                  10
        46             300.000             0.00000          1120.48644         -4463.82453         -3343.33809                   -
        47             300.000             0.00000          1120.48644         -4439.69475         -3319.20831                   -
        48             300.000             0.00000          1120.48644         -4402.75958         -3282.27313                   -
        49             300.000             0.00000          1120.48644         -4403.77462         -3283.28818                   -
        50             300.000             0.00000          1120.48644         -4410.38216         -3289.89572                  11
        51             300.000             0.00000          1120.48644         -4379.81548         -3259.32903                   -
        52             300.000             0.00000          1120.48644         -4347.52750         -3227.04106                   -
        53             300.000             0.00000          1120.48644         -4367.14150         -3246.65505                   -
        54             300.000             0.00000          1120.48644         -4408.77060         -3288.28416                   -
        55             300.000             0.00000          1120.48644         -4405.34371         -3284.85727                  12
        56             300.000             0.00000          1120.48644         -4362.34109         -3241.85465                   -
        57             300.000             0.00000          1120.48644         -4338.37919         -3217.89275                   -
        58             300.000             0.00000          1120.48644         -4344.16448         -3223.67804                   -
        59             300.000             0.00000          1120.48644         -4334.13674         -3213.65030                   -
        60             300.000             0.00000          1120.48644         -4300.95094         -3180.46450                  13
        61             300.000             0.00000          1120.48644         -4292.45238         -3171.96594                   -
        62             300.000             0.00000          1120.48644         -4322.55114         -3202.06470                   -
        63             300.000             0.00000          1120.48644         -4337.87022         -3217.38377                   -
        64             300.000             0.00000          1120.48644         -4305.29835         -3184.81191                   -
        65             300.000             0.00000          1120.48644         -4261.11726         -3140.63082                  14
        66             300.000             0.00000          1120.48644         -4247.61537         -3127.12893                   -
        67             300.000             0.00000          1120.48644         -4249.56080         -3129.07436                   -
        68             300.000             0.00000          1120.48644         -4236.05015         -3115.56371                   -
        69             300.000             0.00000          1120.48644         -4221.60993         -3101.12349                   -
        70             300.000             0.00000          1120.48644         -4233.76314         -3113.27670                  15
        71             300.000             0.00000          1120.48644         -4253.57232         -3133.08588                   -
        72             300.000             0.00000          1120.48644         -4242.22235         -3121.73591                   -
        73             300.000             0.00000          1120.48644         -4204.52755         -3084.04111                   -
        74             300.000             0.00000          1120.48644         -4178.40187         -3057.91543                   -
        75             300.000             0.00000          1120.48644         -4175.09799         -3054.61154                  16
        76             300.000             0.00000          1120.48644         -4171.82750         -3051.34105                   -
        77             300.000             0.00000          1120.48644         -4162.06370         -3041.57726                   -
        78             300.000             0.00000          1120.48644         -4164.93430         -3044.44786                   -
        79             300.000             0.00000          1120.48644         -4180.68087         -3060.19443                   -
        80             300.000             0.00000          1120.48644         -4180.28587         -3059.79943                  17
        81             300.000             0.00000          1120.48644         -4151.67943         -3031.19299                   -
        82             300.000             0.00000          1120.48644         -4120.17277         -2999.68633                   -
