        It                   T                   P               E_kin               E_pot               E_tot             Snapsh.
         0             337.531         -7320.66156           702.26924         -1542.75642          -840.48718                   1
         1             388.888          3245.76643           809.12168         -1664.89033          -855.76865                   2
         2             384.966         12495.14824           800.96160         -1660.74193          -859.78033                   3
         3             359.482         16057.67684           747.93913         -1612.84026          -864.90114                   4
         4             376.063         13245.43008           782.43773         -1673.50926          -891.07153                   5
         5             406.712          4490.42094           846.20788         -1777.47867          -931.27079                   6
         6             387.623         -7537.18429           806.49031         -1770.80356          -964.31326                   7
         7             342.930        -16386.28631           713.50176         -1704.79473          -991.29298                   8
         8             342.917        -16257.89335           713.47428         -1744.90239         -1031.42811                   9
         9             376.731         -8052.94617           783.82931         -1869.43501         -1085.60569                  10
        10             373.504          1775.19777           777.11364         -1911.40963         -1134.29599                  11
        11             328.127          7798.89969           682.70236         -1854.42115         -1171.71879                  12
        12             302.653          8511.48938           629.70066         -1843.56673         -1213.86606                  13
        13             311.123          4139.03788           647.32428         -1914.67318         -1267.34890                  14
        14             302.012         -4097.75838           628.36745         -1944.25139         -1315.88394                  15
        15             259.918        -12229.00260           540.78608         -1889.46157         -1348.67549                  16
        16             234.835        -14918.39239           488.59989         -1866.62059         -1378.02070                  17
        17             250.785        -10420.27306           521.78499         -1936.78594         -1415.00095                  18
        18             263.422         -2383.25843           548.07775         -1997.37129         -1449.29355                  19
        19             238.783          4106.67500           496.81404         -1966.20089         -1469.38684                  20
        20             209.392          6565.84576           435.66279         -1919.28741         -1483.62463                  21
        21             211.954          4770.19221           440.99159         -1945.31081         -1504.31922                  22
        22             224.198          -800.21517           466.46759         -1991.66260         -1525.19501                  23
        23             211.130         -8106.58258           439.27852         -1973.00532         -1533.72679                  24
        24             191.641        -12977.30373           398.72888         -1932.99850         -1534.26963                  25
        25             204.180        -12108.83058           424.81726         -1963.82285         -1539.00558                  26
        26             235.200         -6476.47662           489.35820         -2033.87891         -1544.52072                  27
        27             240.249          -238.77449           499.86330         -2038.35142         -1538.48812                  28
        28             220.992          3314.81128           459.79776         -1983.15750         -1523.35974                  29
        29             220.474          3304.99438           458.72031         -1971.51390         -1512.79359                  30
        30             245.921          -207.77010           511.66381         -2018.93828         -1507.27447                  31
        31             258.623         -6464.92710           538.09295         -2031.78256         -1493.68961                  32
        32             248.076        -12554.30759           516.14783         -1985.91286         -1469.76503                  33
        33             253.597        -14422.46737           527.63482         -1975.55276         -1447.91794                  34
        34             291.171        -10782.70696           605.81185         -2037.44035         -1431.62850                  35
        35             318.917         -4598.83170           663.54112         -2072.48523         -1408.94411                  36
        36             308.518           198.28306           641.90376         -2017.70046         -1375.79669                  37
        37             295.736          1950.91702           615.30952         -1960.92011         -1345.61059                  38
        38             316.089           554.61700           657.65747         -1984.67409         -1327.01662                  39
        39             342.265         -3970.76645           712.11864         -2021.48159         -1309.36295                  40
        40             337.829        -10126.65119           702.88980         -1985.68670         -1282.79690                  41
        41             327.203        -14038.08924           680.77936         -1937.16688         -1256.38752                  42
